Quinto Test
LexToken(VOID,'void',1,0)
LexToken(MAIN,'main',1,5)
LexToken(LPAREN,'(',1,9)
LexToken(RPAREN,')',1,10)
LexToken(LBRACE,'{',1,12)
LexToken(commentLine,'// Error léxico: variable con nombre inválido',2,16)
LexToken(VAR,'var',3,64)
LexToken(NUMBER,123,3,68)
LexToken(VARIABLE,'variable',3,71)
LexToken(EQUALS,'=',3,80)
LexToken(NUMBER,10,3,82)
LexToken(DOTCOMMA,';',3,84)
LexToken(commentLine,'// Error sintáctico: falta de cierre de paréntesis',5,89)
LexToken(FOR,'for',6,142)
LexToken(LPAREN,'(',6,146)
LexToken(VAR,'var',6,147)
LexToken(VARIABLE,'i',6,151)
LexToken(EQUALS,'=',6,153)
LexToken(NUMBER,0,6,155)
LexToken(DOTCOMMA,';',6,156)
LexToken(VARIABLE,'i',6,158)
LexToken(LANGLE,'<',6,160)
LexToken(NUMBER,10,6,162)
LexToken(DOTCOMMA,';',6,164)
LexToken(VARIABLE,'i',6,166)
LexToken(PLUS,'+',6,167)
LexToken(PLUS,'+',6,168)
LexToken(RPAREN,')',6,169)
LexToken(LBRACE,'{',6,171)
LexToken(PRINT,'print',7,177)
LexToken(LPAREN,'(',7,182)
LexToken(APHOSTROPHE,"'",7,183)
LexToken(VARIABLE,'Número',7,184)
LexToken(TWODOTS,':',7,190)
LexToken(DOLLAR,'$',7,192)
LexToken(VARIABLE,'i',7,193)
LexToken(APHOSTROPHE,"'",7,194)
LexToken(RPAREN,')',7,195)
LexToken(DOTCOMMA,';',7,196)
LexToken(commentLine,'// Error semántico: operación inválida entre un entero y una cadena',9,203)
LexToken(VAR,'var',10,273)
LexToken(VARIABLE,'x',10,277)
LexToken(EQUALS,'=',10,279)
LexToken(NUMBER,10,10,281)
LexToken(DOTCOMMA,';',10,283)
LexToken(VAR,'var',11,287)
LexToken(VARIABLE,'y',11,291)
LexToken(EQUALS,'=',11,293)
LexToken(APHOSTROPHE,"'",11,295)
LexToken(VARIABLE,'Hola',11,296)
LexToken(COMMA,',',11,300)
LexToken(VARIABLE,'mundo',11,302)
LexToken(ADMIRATION,'!',11,307)
LexToken(APHOSTROPHE,"'",11,308)
LexToken(DOTCOMMA,';',11,309)
LexToken(PRINT,'print',12,313)
LexToken(LPAREN,'(',12,318)
LexToken(VARIABLE,'x',12,319)
LexToken(PLUS,'+',12,321)
LexToken(VARIABLE,'y',12,323)
LexToken(RPAREN,')',12,324)
LexToken(DOTCOMMA,';',12,325)
LexToken(commentBlock,'/* comentario */',13,329)
LexToken(RBRACE,'}',14,346)
