Sexto Test
LexToken(VOID,'void',1,0)
LexToken(MAIN,'main',1,5)
LexToken(LPAREN,'(',1,9)
LexToken(RPAREN,')',1,10)
LexToken(LBRACE,'{',1,12)
LexToken(commentLine,'// Error léxico: variable con nombre inválido',2,16)
LexToken(VAR,'var',3,64)
LexToken(NUMBER,123,3,68)
LexToken(VARIABLE,'variable',3,71)
LexToken(EQUALS,'=',3,80)
LexToken(NUMBER,10,3,82)
LexToken(DOTCOMMA,';',3,84)
LexToken(commentLine,'// Error sintáctico: falta de cierre de paréntesis',5,89)
LexToken(FOR,'for',6,142)
LexToken(LPAREN,'(',6,146)
LexToken(VAR,'var',6,147)
LexToken(VARIABLE,'i',6,151)
LexToken(EQUALS,'=',6,153)
LexToken(NUMBER,0,6,155)
LexToken(DOTCOMMA,';',6,156)
LexToken(VARIABLE,'i',6,158)
LexToken(LANGLE,'<',6,160)
LexToken(NUMBER,10,6,162)
LexToken(DOTCOMMA,';',6,164)
LexToken(VARIABLE,'i',6,166)
LexToken(PLUS,'+',6,167)
LexToken(PLUS,'+',6,168)
LexToken(RPAREN,')',6,169)
LexToken(LBRACE,'{',6,171)
LexToken(PRINT,'print',7,177)
LexToken(LPAREN,'(',7,182)
LexToken(APHOSTROPHE,"'",7,183)
LexToken(VARIABLE,'Número',7,184)
LexToken(TWODOTS,':',7,190)
LexToken(DOLLAR,'$',7,192)
LexToken(VARIABLE,'i',7,193)
LexToken(APHOSTROPHE,"'",7,194)
LexToken(RPAREN,')',7,195)
LexToken(DOTCOMMA,';',7,196)
LexToken(commentLine,'// Error semántico: operación inválida entre un entero y una cadena',9,203)
LexToken(VAR,'var',10,273)
LexToken(VARIABLE,'x',10,277)
LexToken(EQUALS,'=',10,279)
LexToken(NUMBER,10,10,281)
LexToken(DOTCOMMA,';',10,283)
LexToken(VAR,'var',11,287)
LexToken(VARIABLE,'y',11,291)
LexToken(EQUALS,'=',11,293)
LexToken(APHOSTROPHE,"'",11,295)
LexToken(VARIABLE,'Hola',11,296)
LexToken(COMMA,',',11,300)
LexToken(VARIABLE,'mundo',11,302)
LexToken(ADMIRATION,'!',11,307)
LexToken(APHOSTROPHE,"'",11,308)
LexToken(DOTCOMMA,';',11,309)
LexToken(PRINT,'print',12,313)
LexToken(LPAREN,'(',12,318)
LexToken(VARIABLE,'x',12,319)
LexToken(PLUS,'+',12,321)
LexToken(VARIABLE,'y',12,323)
LexToken(RPAREN,')',12,324)
LexToken(DOTCOMMA,';',12,325)
LexToken(commentBlock,'/* Ahora \n  valido\n    condicionales */',13,329)
LexToken(IF,'if',14,371)
LexToken(LPAREN,'(',14,373)
LexToken(VARIABLE,'x',14,374)
LexToken(RANGLE,'>',14,376)
LexToken(EQUALS,'=',14,377)
LexToken(NUMBER,0,14,379)
LexToken(OR,'||',14,381)
LexToken(VARIABLE,'x',14,384)
LexToken(LANGLE,'<',14,386)
LexToken(NUMBER,10,14,388)
LexToken(AND,'&&',14,391)
LexToken(VARIABLE,'x',14,394)
LexToken(NEQ,'!=',14,396)
LexToken(NUMBER,5,14,399)
LexToken(RPAREN,')',14,400)
LexToken(LBRACE,'{',14,401)
LexToken(PRINT,'print',15,407)
LexToken(LPAREN,'(',15,412)
LexToken(APHOSTROPHE,"'",15,413)
LexToken(VARIABLE,'x',15,414)
LexToken(VARIABLE,'es',15,416)
LexToken(VARIABLE,'un',15,419)
LexToken(VARIABLE,'número',15,422)
LexToken(VARIABLE,'válido',15,429)
LexToken(APHOSTROPHE,"'",15,435)
LexToken(RPAREN,')',15,436)
LexToken(DOTCOMMA,';',15,437)
LexToken(RBRACE,'}',16,441)
LexToken(ELSE,'else',17,445)
LexToken(LBRACE,'{',17,449)
LexToken(PRINT,'print',18,455)
LexToken(LPAREN,'(',18,460)
LexToken(APHOSTROPHE,"'",18,461)
LexToken(VARIABLE,'x',18,462)
LexToken(VARIABLE,'no',18,464)
LexToken(VARIABLE,'es',18,467)
LexToken(VARIABLE,'un',18,470)
LexToken(VARIABLE,'número',18,473)
LexToken(VARIABLE,'válido',18,480)
LexToken(APHOSTROPHE,"'",18,486)
LexToken(RPAREN,')',18,487)
LexToken(DOTCOMMA,';',18,488)
LexToken(RBRACE,'}',19,492)
LexToken(commentLine,'//whiles',20,496)
LexToken(WHILE,'while',21,509)
LexToken(LPAREN,'(',21,514)
LexToken(VARIABLE,'x',21,515)
LexToken(LANGLE,'<',21,517)
LexToken(NUMBER,10,21,519)
LexToken(RPAREN,')',21,521)
LexToken(LBRACE,'{',21,522)
LexToken(PRINT,'print',22,532)
LexToken(LPAREN,'(',22,537)
LexToken(APHOSTROPHE,"'",22,538)
LexToken(VARIABLE,'x',22,539)
LexToken(VARIABLE,'es',22,541)
LexToken(VARIABLE,'menor',22,544)
LexToken(VARIABLE,'a',22,550)
LexToken(NUMBER,10,22,552)
LexToken(APHOSTROPHE,"'",22,554)
LexToken(RPAREN,')',22,555)
LexToken(DOTCOMMA,';',22,556)
LexToken(VARIABLE,'x',23,566)
LexToken(PLUS,'+',23,567)
LexToken(PLUS,'+',23,568)
LexToken(DOTCOMMA,';',23,569)
LexToken(RBRACE,'}',24,575)
LexToken(commentLine,'//switches',25,580)
LexToken(SWITCH,'switch',26,595)
LexToken(LPAREN,'(',26,601)
LexToken(VARIABLE,'x',26,602)
LexToken(RPAREN,')',26,603)
LexToken(LBRACE,'{',26,604)
LexToken(CASE,'case',27,612)
LexToken(NUMBER,1,27,617)
LexToken(TWODOTS,':',27,618)
LexToken(PRINT,'print',28,628)
LexToken(LPAREN,'(',28,633)
LexToken(APHOSTROPHE,"'",28,634)
LexToken(VARIABLE,'x',28,635)
LexToken(VARIABLE,'es',28,637)
LexToken(NUMBER,1,28,640)
LexToken(APHOSTROPHE,"'",28,641)
LexToken(RPAREN,')',28,642)
LexToken(DOTCOMMA,';',28,643)
LexToken(BREAK,'break',29,653)
LexToken(DOTCOMMA,';',29,658)
LexToken(CASE,'case',30,666)
LexToken(NUMBER,2,30,671)
LexToken(TWODOTS,':',30,672)
LexToken(PRINT,'print',31,682)
LexToken(LPAREN,'(',31,687)
LexToken(APHOSTROPHE,"'",31,688)
LexToken(VARIABLE,'x',31,689)
LexToken(VARIABLE,'es',31,691)
LexToken(NUMBER,2,31,694)
LexToken(APHOSTROPHE,"'",31,695)
LexToken(RPAREN,')',31,696)
LexToken(DOTCOMMA,';',31,697)
LexToken(BREAK,'break',32,707)
LexToken(DOTCOMMA,';',32,712)
LexToken(VARIABLE,'default',33,720)
LexToken(TWODOTS,':',33,727)
LexToken(PRINT,'print',34,737)
LexToken(LPAREN,'(',34,742)
LexToken(APHOSTROPHE,"'",34,743)
LexToken(VARIABLE,'x',34,744)
LexToken(VARIABLE,'no',34,746)
LexToken(VARIABLE,'es',34,749)
LexToken(VARIABLE,'ni',34,752)
LexToken(NUMBER,1,34,755)
LexToken(VARIABLE,'ni',34,757)
LexToken(NUMBER,2,34,760)
LexToken(APHOSTROPHE,"'",34,761)
LexToken(RPAREN,')',34,762)
LexToken(DOTCOMMA,';',34,763)
LexToken(RBRACE,'}',35,769)
LexToken(commentLine,'//try catch',36,775)
LexToken(TRY,'try',37,791)
LexToken(LBRACE,'{',37,794)
LexToken(PRINT,'print',38,802)
LexToken(LPAREN,'(',38,807)
LexToken(APHOSTROPHE,"'",38,808)
LexToken(VARIABLE,'Intentando',38,809)
LexToken(VARIABLE,'algo',38,820)
LexToken(APHOSTROPHE,"'",38,824)
LexToken(RPAREN,')',38,825)
LexToken(DOTCOMMA,';',38,826)
LexToken(RBRACE,'}',39,832)
LexToken(CATCH,'catch',40,838)
LexToken(LPAREN,'(',40,843)
LexToken(VARIABLE,'e',40,844)
LexToken(RPAREN,')',40,845)
LexToken(LBRACE,'{',40,846)
LexToken(PRINT,'print',41,854)
LexToken(LPAREN,'(',41,859)
LexToken(APHOSTROPHE,"'",41,860)
LexToken(VARIABLE,'Error',41,861)
LexToken(TWODOTS,':',41,866)
LexToken(DOLLAR,'$',41,868)
LexToken(VARIABLE,'e',41,869)
LexToken(APHOSTROPHE,"'",41,870)
LexToken(RPAREN,')',41,871)
LexToken(DOTCOMMA,';',41,872)
LexToken(RBRACE,'}',42,878)
LexToken(FINALLY,'finally',43,884)
LexToken(LBRACE,'{',43,891)
LexToken(PRINT,'print',44,899)
LexToken(LPAREN,'(',44,904)
LexToken(APHOSTROPHE,"'",44,905)
LexToken(VARIABLE,'Finalmente',44,906)
LexToken(APHOSTROPHE,"'",44,916)
LexToken(RPAREN,')',44,917)
LexToken(DOTCOMMA,';',44,918)
LexToken(RBRACE,'}',45,924)
LexToken(RBRACE,'}',46,927)
