LexToken(commentBlock,'/* Block comment example\nThis is a test for the block comment token.\n*/',2,1)
LexToken(commentLine,'// Line comment example',4,74)
LexToken(PUBLIC,'public',5,98)
LexToken(CLASS,'class',5,105)
LexToken(VARIABLE,'TestClass',5,111)
LexToken(LBRACE,'{',5,121)
LexToken(PRIVATE,'private',6,127)
LexToken(INT,'int',6,135)
LexToken(VARIABLE,'number',6,139)
LexToken(EQUALS,'=',6,146)
LexToken(NUMBER,42,6,148)
LexToken(DOTCOMMA,';',6,150)
LexToken(PUBLIC,'public',7,156)
LexToken(DOUBLE,'double',7,163)
LexToken(VARIABLE,'decimalNumber',7,170)
LexToken(EQUALS,'=',7,184)
LexToken(FLOAT,3.14,7,186)
LexToken(DOTCOMMA,';',7,190)
LexToken(PROTECTED,'protected',8,196)
LexToken(BOOLEAN,'boolean',8,206)
LexToken(VARIABLE,'isValid',8,214)
LexToken(EQUALS,'=',8,222)
LexToken(VARIABLE,'true',8,224)
LexToken(DOTCOMMA,';',8,228)
LexToken(STATIC,'static',9,234)
LexToken(FINAL,'final',9,241)
LexToken(STRING,'String',9,247)
LexToken(VARIABLE,'CONSTANT_STRING',9,254)
LexToken(EQUALS,'=',9,270)
LexToken(VARIABLE,'Hello',9,273)
LexToken(DOTCOMMA,';',9,279)
LexToken(PRIVATE,'private',10,285)
LexToken(VARIABLE,'List',10,293)
LexToken(LANGLE,'<',10,297)
LexToken(VARIABLE,'Integer',10,298)
LexToken(RANGLE,'>',10,305)
LexToken(VARIABLE,'myList',10,307)
LexToken(EQUALS,'=',10,314)
LexToken(NEW,'new',10,316)
LexToken(VARIABLE,'ArrayList',10,320)
LexToken(LANGLE,'<',10,329)
LexToken(RANGLE,'>',10,330)
LexToken(LPAREN,'(',10,331)
LexToken(RPAREN,')',10,332)
LexToken(DOTCOMMA,';',10,333)
LexToken(PRIVATE,'private',11,339)
LexToken(VARIABLE,'Map',11,347)
LexToken(LANGLE,'<',11,350)
LexToken(STRING,'String',11,351)
LexToken(COMMA,',',11,357)
LexToken(VARIABLE,'Integer',11,359)
LexToken(RANGLE,'>',11,366)
LexToken(VARIABLE,'myMap',11,368)
LexToken(EQUALS,'=',11,374)
LexToken(NEW,'new',11,376)
LexToken(VARIABLE,'HashMap',11,380)
LexToken(LANGLE,'<',11,387)
LexToken(RANGLE,'>',11,388)
LexToken(LPAREN,'(',11,389)
LexToken(RPAREN,')',11,390)
LexToken(DOTCOMMA,';',11,391)
LexToken(PUBLIC,'public',13,398)
LexToken(STATIC,'static',13,405)
LexToken(VOID,'void',13,412)
LexToken(MAIN,'main',13,417)
LexToken(LPAREN,'(',13,421)
LexToken(STRING,'String',13,422)
LexToken(LBRACKET,'[',13,428)
LexToken(RBRACKET,']',13,429)
LexToken(VARIABLE,'args',13,431)
LexToken(RPAREN,')',13,435)
LexToken(LBRACE,'{',13,437)
LexToken(VARIABLE,'TestClass',14,447)
LexToken(VARIABLE,'instance',14,457)
LexToken(EQUALS,'=',14,466)
LexToken(NEW,'new',14,468)
LexToken(VARIABLE,'TestClass',14,472)
LexToken(LPAREN,'(',14,481)
LexToken(RPAREN,')',14,482)
LexToken(DOTCOMMA,';',14,483)
LexToken(VARIABLE,'instance',15,493)
LexToken(DOT,'.',15,501)
LexToken(VARIABLE,'testMethod',15,502)
LexToken(LPAREN,'(',15,512)
LexToken(RPAREN,')',15,513)
LexToken(DOTCOMMA,';',15,514)
LexToken(RBRACE,'}',16,520)
LexToken(PUBLIC,'public',18,527)
LexToken(VOID,'void',18,534)
LexToken(VARIABLE,'testMethod',18,539)
LexToken(LPAREN,'(',18,549)
LexToken(RPAREN,')',18,550)
LexToken(LBRACE,'{',18,552)
LexToken(INT,'int',19,562)
LexToken(VARIABLE,'localVar',19,566)
LexToken(EQUALS,'=',19,575)
LexToken(NUMBER,10,19,577)
LexToken(DOTCOMMA,';',19,579)
LexToken(DOUBLE,'double',20,589)
LexToken(VARIABLE,'pi',20,596)
LexToken(EQUALS,'=',20,599)
LexToken(FLOAT,3.14,20,601)
